"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL),,
100,-1216658.896,19864.59033,-1196794.306,30.16099819,0.968163616,AVG,299.7532297
200,-1198871.152,35970.63882,-1162900.513,54.61529054,0.968163616,STDV,0.961703541
300,-1183278.092,51312.79441,-1131965.297,77.90974157,0.968163616,,
400,-1169101.586,65025.86593,-1104075.72,98.73070582,0.968163616,,
500,-1156563.822,77675.11747,-1078888.705,117.9364406,0.968163616,,
600,-1144768.162,88613.19353,-1056154.968,134.5440467,0.968163616,,
700,-1133119.155,98440.41628,-1034678.738,149.4650112,0.968163616,,
800,-1124409.852,108299.6863,-1016110.166,164.434634,0.968163616,,
900,-1114641.036,115652.6746,-998988.3612,175.5988949,0.968163616,,
1000,-1105483.771,122210.7475,-983273.023,185.556212,0.968163616,,
1100,-1097561.99,128542.8677,-969019.1223,195.1704583,0.968163616,,
1200,-1090373.1,134938.8647,-955434.2356,204.8816908,0.968163616,,
1300,-1084157.479,140495.1507,-943662.3287,213.317965,0.968163616,,
1400,-1077055.769,144275.5458,-932780.2234,219.0578513,0.968163616,,
1500,-1071130.043,148835.8644,-922294.1789,225.9819186,0.968163616,,
1600,-1065301.253,151895.828,-913405.4253,230.6279524,0.968163616,,
1700,-1061309.141,156615.4097,-904693.7317,237.7938336,0.968163616,,
1800,-1055623.688,159553.4524,-896070.2359,242.2547512,0.968163616,,
1900,-1050713.283,162012.4324,-888700.8506,245.9882936,0.968163616,,
2000,-1045952.026,164097.1582,-881854.8677,249.1535949,0.968163616,,
2100,-1042313.929,167077.1043,-875236.8245,253.6781356,0.968163616,,
2200,-1038767.16,169762.4045,-869004.7555,257.7553067,0.968163616,,
2300,-1035380.596,171553.9085,-863826.6876,260.4754006,0.968163616,,
2400,-1031048.256,172656.4902,-858391.7656,262.1494832,0.968163616,,
2500,-1027982.021,173806.5509,-854175.4698,263.8956545,0.968163616,,
2600,-1026171.774,176521.251,-849650.5226,268.0174644,0.968163616,,
2700,-1023322.542,178021.8159,-845300.726,270.2958167,0.968163616,,
2800,-1020301.921,179118.6217,-841183.2993,271.9611295,0.968163616,,
2900,-1018252.901,180140.2463,-838112.6544,273.5122926,0.968163616,,
3000,-1015744.718,181394.2044,-834350.5133,275.4162144,0.968163616,,
3100,-1012682.034,181512.5749,-831169.4588,275.5959398,0.968163616,,
3200,-1011429.215,182820.7286,-828608.4866,277.5821485,0.968163616,,
3300,-1008491.961,183213.8118,-825278.1492,278.1789784,0.968163616,,
3400,-1007561.589,184835.018,-822726.5712,280.6405041,0.968163616,,
3500,-1004867.407,184374.3771,-820493.0295,279.9410993,0.968163616,,
3600,-1004818.453,187156.6134,-817661.8397,284.1654513,0.968163616,,
3700,-1001939.793,186461.7784,-815478.015,283.1104627,0.968163616,,
